precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOIȘ-STOICA PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","RUS IOANA-PARTIDUL SOCIAL DEMOCRAT-voturi","DUNCA TOADER-PARTIDUL S.O.S. ROMÂNIA-voturi","IUSCO IRINA-ADRIANA-GABRIELA-CANDIDAT INDEPENDENT-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:51:26",1225,1185,1,8,31,710,671,0,8,31,702,8,1300,590,96,364,7,235
26,MARAMUREŞ,"ȘCOALA DE LA PODUL RÂTULUI",418,ŞIEU,179613,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:12:50",714,693,0,6,15,444,423,0,6,15,442,2,780,336,25,249,0,168
